recruit_no,title,company,company_desc,skills,career,location,badges,deadline_text,deadline_date,detail_url
49691425,3D Vision Algorithm 엔지니어,씨메스로보틱스㈜,AI 기반 3D 비전 로봇 소프트웨어 및 고정밀 3D 스캐너 솔루션 제공하는 전문 기업,C++;Python;Pytorch;Tensorflow;CAD,경력2년↑,서울 강남구 외 1,합격축하금,~08/31(월),2026-08-31 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49691425?sc=322
49690807,Physical AI  엔지니어,씨메스로보틱스㈜,AI 기반 3D 비전 로봇 소프트웨어 및 고정밀 3D 스캐너 솔루션 제공하는 전문 기업,Python;Pytorch;인공지능(AI),경력무관,서울 강남구 외 1,합격축하금,~08/31(월),2026-08-31 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49690807?sc=322
49690538,Robotics  Engineer,씨메스로보틱스㈜,AI 기반 3D 비전 로봇 소프트웨어 및 고정밀 3D 스캐너 솔루션 제공하는 전문 기업,C++;Python,경력2년↑,서울 강남구 외 1,합격축하금,~08/31(월),2026-08-31 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49690538?sc=322
49690519,3D 알고리즘  엔지니어,씨메스로보틱스㈜,AI 기반 3D 비전 로봇 소프트웨어 및 고정밀 3D 스캐너 솔루션 제공하는 전문 기업,AOI,경력2년↑,서울 강남구 외 2,합격축하금,~08/31(월),2026-08-31 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49690519?sc=322
49685551,소프트웨어 개발 엔지니어,이서,4차 산업혁명을 위한 자동화 및 무인화를 지원하는 혁신적인 센서 솔루션을 제공하는 제조업체,C;C++;Flutter;Python,경력2년↑,대전 유성구,합격축하금,~08/29(토),2026-08-29 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49685551?sc=322
49685023,모델링 & 제어 엔지니어,㈜에이스웍스코리아,"연구개발 중심의 미래모빌리티 전문 솔루션 기업으로, EV 및 자율주행 분야에 맞춤형 솔루션을 제공하는 혁신 기업",Matlab;Mil;Simulink,경력,서울 강남구 외 5,합격축하금,~08/29(토),2026-08-29 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49685023?sc=322
49684772,자율주행(차량/로봇) 연구원,베스텔라랩,"독보적인 정밀 실내 내비게이션 기술로 자율주행차 시대를 준비하며, AI, IoT, 빅데이터 융복합 솔루션을 제공하는 기업",AWS;C++;Git;iOS;Python,경력무관,경기 안양시,합격축하금,~08/31(월),2026-08-31 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49684772?sc=322
49684721,연구개발 팀장,베스텔라랩,"독보적인 정밀 실내 내비게이션 기술로 자율주행차 시대를 준비하며, AI, IoT, 빅데이터 융복합 솔루션을 제공하는 기업",,경력,경기 안양시,합격축하금,~08/31(월),2026-08-31 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49684721?sc=322
49682796,LG엔솔 청주 SPC 프로젝트 [신입],㈜오아비스솔루션,"제조 IT 및 스마트 팩토리 분야의 시스템 구축과 운영을 전문으로 하며, 현장 중심의 엔지니어링을 지향하는 기업",JAVA;MSSQL;Oracle;React,신입,충북 청주시,합격축하금,~08/29(토),2026-08-29 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49682796?sc=322
49682138,데이터 엔지니어,㈜바로팜,"의약품 주문 통합 플랫폼을 기반으로 약국 경영 혁신을 다루는 Pharm Tech 기업, 빠른 성장과 시장 확장을 목표로 하는 전문 기업",AWS;Python;Elasticsearch,경력7년↑,서울 동작구,합격축하금,~08/29(토),2026-08-29 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49682138?sc=322
