domain,domain_posting_count,skill,skill_count,skill_pct_in_domain
모빌리티/자율주행/로보틱스,34,Python,21,61.8
모빌리티/자율주행/로보틱스,34,C++,18,52.9
모빌리티/자율주행/로보틱스,34,Pytorch,9,26.5
모빌리티/자율주행/로보틱스,34,C,6,17.6
모빌리티/자율주행/로보틱스,34,Tensorflow,5,14.7
모빌리티/자율주행/로보틱스,34,Git,5,14.7
모빌리티/자율주행/로보틱스,34,Linux,5,14.7
모빌리티/자율주행/로보틱스,34,CAD,3,8.8
모빌리티/자율주행/로보틱스,34,CAN,2,5.9
모빌리티/자율주행/로보틱스,34,ROS,2,5.9
모빌리티/자율주행/로보틱스,34,AutoCAD,2,5.9
모빌리티/자율주행/로보틱스,34,2D 설계,2,5.9
모빌리티/자율주행/로보틱스,34,TCP/IP,2,5.9
모빌리티/자율주행/로보틱스,34,인공지능(AI),1,2.9
모빌리티/자율주행/로보틱스,34,AOI,1,2.9
모빌리티/자율주행/로보틱스,34,Matlab,1,2.9
모빌리티/자율주행/로보틱스,34,Mil,1,2.9
모빌리티/자율주행/로보틱스,34,Simulink,1,2.9
모빌리티/자율주행/로보틱스,34,AWS,1,2.9
모빌리티/자율주행/로보틱스,34,iOS,1,2.9
모빌리티/자율주행/로보틱스,34,MCU,1,2.9
모빌리티/자율주행/로보틱스,34,자율주행,1,2.9
모빌리티/자율주행/로보틱스,34,Pandas,1,2.9
모빌리티/자율주행/로보틱스,34,Numpy,1,2.9
모빌리티/자율주행/로보틱스,34,Docker,1,2.9
모빌리티/자율주행/로보틱스,34,Ubuntu,1,2.9
모빌리티/자율주행/로보틱스,34,EPLAN,1,2.9
제조/스마트팩토리,23,Python,7,30.4
제조/스마트팩토리,23,C,6,26.1
제조/스마트팩토리,23,C++,6,26.1
제조/스마트팩토리,23,Oracle,4,17.4
제조/스마트팩토리,23,Pytorch,4,17.4
제조/스마트팩토리,23,C#,4,17.4
제조/스마트팩토리,23,JAVA,3,13.0
제조/스마트팩토리,23,MSSQL,3,13.0
제조/스마트팩토리,23,Tensorflow,3,13.0
제조/스마트팩토리,23,React,2,8.7
제조/스마트팩토리,23,Git,2,8.7
제조/스마트팩토리,23,SQL,2,8.7
제조/스마트팩토리,23,Flutter,1,4.3
제조/스마트팩토리,23,Solidworks,1,4.3
제조/스마트팩토리,23,AutoCAD,1,4.3
제조/스마트팩토리,23,CAD,1,4.3
제조/스마트팩토리,23,NX,1,4.3
제조/스마트팩토리,23,2D 설계,1,4.3
제조/스마트팩토리,23,Linux,1,4.3
제조/스마트팩토리,23,SDK,1,4.3
제조/스마트팩토리,23,인공지능(AI),1,4.3
제조/스마트팩토리,23,.Net,1,4.3
제조/스마트팩토리,23,WPF,1,4.3
제조/스마트팩토리,23,비즈니스영어,1,4.3
제조/스마트팩토리,23,Excel,1,4.3
제조/스마트팩토리,23,운전면허,1,4.3
제조/스마트팩토리,23,CSS,1,4.3
제조/스마트팩토리,23,Docker,1,4.3
제조/스마트팩토리,23,kubernetes,1,4.3
제조/스마트팩토리,23,TypeScript,1,4.3
제조/스마트팩토리,23,컴퓨터활용능력,1,4.3
제조/스마트팩토리,23,AWS,1,4.3
제조/스마트팩토리,23,Kafka,1,4.3
제조/스마트팩토리,23,Redis,1,4.3
제조/스마트팩토리,23,Airflow,1,4.3
제조/스마트팩토리,23,Grafana,1,4.3
헬스케어/제약/바이오,13,Python,7,53.8
헬스케어/제약/바이오,13,AWS,3,23.1
헬스케어/제약/바이오,13,NoSQL,3,23.1
헬스케어/제약/바이오,13,RDBMS,3,23.1
헬스케어/제약/바이오,13,SQL,3,23.1
헬스케어/제약/바이오,13,Pytorch,2,15.4
헬스케어/제약/바이오,13,Figma,2,15.4
헬스케어/제약/바이오,13,MongoDB,2,15.4
헬스케어/제약/바이오,13,Elasticsearch,1,7.7
헬스케어/제약/바이오,13,Tensorflow,1,7.7
헬스케어/제약/바이오,13,PowerPoint,1,7.7
헬스케어/제약/바이오,13,프레젠테이션,1,7.7
헬스케어/제약/바이오,13,한컴,1,7.7
헬스케어/제약/바이오,13,Scikit-Learn,1,7.7
헬스케어/제약/바이오,13,ERP,1,7.7
헬스케어/제약/바이오,13,DBMS,1,7.7
헬스케어/제약/바이오,13,Azure,1,7.7
헬스케어/제약/바이오,13,R,1,7.7
헬스케어/제약/바이오,13,AutoCAD,1,7.7
헬스케어/제약/바이오,13,CREO,1,7.7
헬스케어/제약/바이오,13,2D 설계,1,7.7
헬스케어/제약/바이오,13,3D Printer,1,7.7
헬스케어/제약/바이오,13,UI,1,7.7
헬스케어/제약/바이오,13,UX,1,7.7
헬스케어/제약/바이오,13,API,1,7.7
헬스케어/제약/바이오,13,Git,1,7.7
헬스케어/제약/바이오,13,MSSQL,1,7.7
헬스케어/제약/바이오,13,MySQL,1,7.7
헬스케어/제약/바이오,13,C++,1,7.7
헬스케어/제약/바이오,13,OpenCV,1,7.7
IT서비스/플랫폼,12,Python,5,41.7
IT서비스/플랫폼,12,Pytorch,2,16.7
IT서비스/플랫폼,12,Tensorflow,2,16.7
IT서비스/플랫폼,12,Adobe XD,1,8.3
IT서비스/플랫폼,12,Figma,1,8.3
IT서비스/플랫폼,12,Notion,1,8.3
IT서비스/플랫폼,12,Sketch,1,8.3
IT서비스/플랫폼,12,Photoshop,1,8.3
IT서비스/플랫폼,12,AWS,1,8.3
IT서비스/플랫폼,12,Docker,1,8.3
IT서비스/플랫폼,12,kubernetes,1,8.3
IT서비스/플랫폼,12,PostgreSQL,1,8.3
IT서비스/플랫폼,12,OpenCV,1,8.3
IT서비스/플랫폼,12,Git,1,8.3
IT서비스/플랫폼,12,Wireshark,1,8.3
IT서비스/플랫폼,12,영어,1,8.3
IT서비스/플랫폼,12,중국어,1,8.3
IT서비스/플랫폼,12,API,1,8.3
IT서비스/플랫폼,12,C,1,8.3
IT서비스/플랫폼,12,C++,1,8.3
IT서비스/플랫폼,12,CTI,1,8.3
IT서비스/플랫폼,12,TTS,1,8.3
IT서비스/플랫폼,12,MySQL,1,8.3
IT서비스/플랫폼,12,Redis,1,8.3
IT서비스/플랫폼,12,FastAPI,1,8.3
IT서비스/플랫폼,12,ChatGPT,1,8.3
IT서비스/플랫폼,12,Excel,1,8.3
IT서비스/플랫폼,12,Spreadsheets,1,8.3
IT서비스/플랫폼,12,Groovy,1,8.3
IT서비스/플랫폼,12,RAG,1,8.3
게임,5,Apache,1,20.0
게임,5,GCP,1,20.0
게임,5,Pandas,1,20.0
게임,5,Python,1,20.0
게임,5,Pytorch,1,20.0
게임,5,애프터이펙트,1,20.0
게임,5,프리미어,1,20.0
게임,5,AI Agent,1,20.0
게임,5,Google Analytics,1,20.0
게임,5,Unity,1,20.0
게임,5,Firebase,1,20.0
게임,5,MLOps,1,20.0
게임,5,CI/CD,1,20.0
교육,4,Python,1,25.0
교육,4,SNS관리,1,25.0
교육,4,Pytorch,1,25.0
기타,3,Django,1,33.3
기타,3,Pandas,1,33.3
기타,3,Python,1,33.3
기타,3,NLP,1,33.3
미디어/콘텐츠,3,Python,2,66.7
미디어/콘텐츠,3,Docker,1,33.3
미디어/콘텐츠,3,Git,1,33.3
미디어/콘텐츠,3,Pytorch,1,33.3
미디어/콘텐츠,3,Ubuntu,1,33.3
미디어/콘텐츠,3,API,1,33.3
미디어/콘텐츠,3,AWS,1,33.3
미디어/콘텐츠,3,GCP,1,33.3
미디어/콘텐츠,3,Excel,1,33.3
금융/핀테크,2,Python,2,100.0
금융/핀테크,2,Pytorch,1,50.0
금융/핀테크,2,SQL,1,50.0
금융/핀테크,2,Tableau,1,50.0
금융/핀테크,2,Airflow,1,50.0
금융/핀테크,2,API,1,50.0
금융/핀테크,2,Git,1,50.0
금융/핀테크,2,JAVA,1,50.0
금융/핀테크,2,PostgreSQL,1,50.0
